material_id,material_name,formula,material_family,material_subfamily,family,source_dataset,source_type,source_trust_score,used_for_ml_training,model_registry_eligible,application_subsystem,recommendation_basis,engineer_reviewed,dielectric_constant,notes,shear_modulus_gpa,bulk_modulus_gpa,band_gap_ev,formation_energy_per_atom,data_completeness_score
matbench_dielectric_00000,matbench_dielectric_0,matbench_dielectric_0,Matbench material,matbench_dielectric,Matbench material,matbench_dielectric,public_benchmark,85,False,True,Electronics / Thermal Interface,benchmark/reference screening,False,1.752063640396657,Matbench reference row from matbench_dielectric; benchmark/reference screening.,,,,,20.0
matbench_dielectric_00011,matbench_dielectric_11,matbench_dielectric_11,Matbench material,matbench_dielectric,Matbench material,matbench_dielectric,public_benchmark,85,False,True,Electronics / Thermal Interface,benchmark/reference screening,False,1.8904877677467267,Matbench reference row from matbench_dielectric; benchmark/reference screening.,,,,,20.0
matbench_dielectric_00012,matbench_dielectric_12,matbench_dielectric_12,Matbench material,matbench_dielectric,Matbench material,matbench_dielectric,public_benchmark,85,False,True,Electronics / Thermal Interface,benchmark/reference screening,False,2.0107925468995194,Matbench reference row from matbench_dielectric; benchmark/reference screening.,,,,,20.0
matbench_dielectric_00013,matbench_dielectric_13,matbench_dielectric_13,Matbench material,matbench_dielectric,Matbench material,matbench_dielectric,public_benchmark,85,False,True,Electronics / Thermal Interface,benchmark/reference screening,False,2.2758439460267637,Matbench reference row from matbench_dielectric; benchmark/reference screening.,,,,,20.0
matbench_dielectric_00014,matbench_dielectric_14,matbench_dielectric_14,Matbench material,matbench_dielectric,Matbench material,matbench_dielectric,public_benchmark,85,False,True,Electronics / Thermal Interface,benchmark/reference screening,False,1.451558357995522,Matbench reference row from matbench_dielectric; benchmark/reference screening.,,,,,20.0
matbench_dielectric_00015,matbench_dielectric_15,matbench_dielectric_15,Matbench material,matbench_dielectric,Matbench material,matbench_dielectric,public_benchmark,85,False,True,Electronics / Thermal Interface,benchmark/reference screening,False,2.0692683892300336,Matbench reference row from matbench_dielectric; benchmark/reference screening.,,,,,20.0
matbench_dielectric_00016,matbench_dielectric_16,matbench_dielectric_16,Matbench material,matbench_dielectric,Matbench material,matbench_dielectric,public_benchmark,85,False,True,Electronics / Thermal Interface,benchmark/reference screening,False,2.3237190736690407,Matbench reference row from matbench_dielectric; benchmark/reference screening.,,,,,20.0
matbench_dielectric_00017,matbench_dielectric_17,matbench_dielectric_17,Matbench material,matbench_dielectric,Matbench material,matbench_dielectric,public_benchmark,85,False,True,Electronics / Thermal Interface,benchmark/reference screening,False,4.248906133739992,Matbench reference row from matbench_dielectric; benchmark/reference screening.,,,,,20.0
matbench_dielectric_00018,matbench_dielectric_18,matbench_dielectric_18,Matbench material,matbench_dielectric,Matbench material,matbench_dielectric,public_benchmark,85,False,True,Electronics / Thermal Interface,benchmark/reference screening,False,3.5748193427546107,Matbench reference row from matbench_dielectric; benchmark/reference screening.,,,,,20.0
matbench_dielectric_00019,matbench_dielectric_19,matbench_dielectric_19,Matbench material,matbench_dielectric,Matbench material,matbench_dielectric,public_benchmark,85,False,True,Electronics / Thermal Interface,benchmark/reference screening,False,2.5537053471377607,Matbench reference row from matbench_dielectric; benchmark/reference screening.,,,,,20.0
matbench_dielectric_00020,matbench_dielectric_20,matbench_dielectric_20,Matbench material,matbench_dielectric,Matbench material,matbench_dielectric,public_benchmark,85,False,True,Electronics / Thermal Interface,benchmark/reference screening,False,1.3754999091239513,Matbench reference row from matbench_dielectric; benchmark/reference screening.,,,,,20.0
matbench_dielectric_00021,matbench_dielectric_21,matbench_dielectric_21,Matbench material,matbench_dielectric,Matbench material,matbench_dielectric,public_benchmark,85,False,True,Electronics / Thermal Interface,benchmark/reference screening,False,1.556806453395326,Matbench reference row from matbench_dielectric; benchmark/reference screening.,,,,,20.0
matbench_dielectric_00022,matbench_dielectric_22,matbench_dielectric_22,Matbench material,matbench_dielectric,Matbench material,matbench_dielectric,public_benchmark,85,False,True,Electronics / Thermal Interface,benchmark/reference screening,False,1.9014183302647014,Matbench reference row from matbench_dielectric; benchmark/reference screening.,,,,,20.0
matbench_dielectric_00023,matbench_dielectric_23,matbench_dielectric_23,Matbench material,matbench_dielectric,Matbench material,matbench_dielectric,public_benchmark,85,False,True,Electronics / Thermal Interface,benchmark/reference screening,False,2.207225030062263,Matbench reference row from matbench_dielectric; benchmark/reference screening.,,,,,20.0
matbench_dielectric_00024,matbench_dielectric_24,matbench_dielectric_24,Matbench material,matbench_dielectric,Matbench material,matbench_dielectric,public_benchmark,85,False,True,Electronics / Thermal Interface,benchmark/reference screening,False,3.7103414038782647,Matbench reference row from matbench_dielectric; benchmark/reference screening.,,,,,20.0
matbench_dielectric_00025,matbench_dielectric_25,matbench_dielectric_25,Matbench material,matbench_dielectric,Matbench material,matbench_dielectric,public_benchmark,85,False,True,Electronics / Thermal Interface,benchmark/reference screening,False,2.1626032152631836,Matbench reference row from matbench_dielectric; benchmark/reference screening.,,,,,20.0
matbench_dielectric_00026,matbench_dielectric_26,matbench_dielectric_26,Matbench material,matbench_dielectric,Matbench material,matbench_dielectric,public_benchmark,85,False,True,Electronics / Thermal Interface,benchmark/reference screening,False,1.610746203886054,Matbench reference row from matbench_dielectric; benchmark/reference screening.,,,,,20.0
matbench_dielectric_00027,matbench_dielectric_27,matbench_dielectric_27,Matbench material,matbench_dielectric,Matbench material,matbench_dielectric,public_benchmark,85,False,True,Electronics / Thermal Interface,benchmark/reference screening,False,1.4138462905610778,Matbench reference row from matbench_dielectric; benchmark/reference screening.,,,,,20.0
matbench_dielectric_00028,matbench_dielectric_28,matbench_dielectric_28,Matbench material,matbench_dielectric,Matbench material,matbench_dielectric,public_benchmark,85,False,True,Electronics / Thermal Interface,benchmark/reference screening,False,2.3173647389509777,Matbench reference row from matbench_dielectric; benchmark/reference screening.,,,,,20.0
matbench_dielectric_00029,matbench_dielectric_29,matbench_dielectric_29,Matbench material,matbench_dielectric,Matbench material,matbench_dielectric,public_benchmark,85,False,True,Electronics / Thermal Interface,benchmark/reference screening,False,2.4161255486142887,Matbench reference row from matbench_dielectric; benchmark/reference screening.,,,,,20.0
matbench_dielectric_00030,matbench_dielectric_30,matbench_dielectric_30,Matbench material,matbench_dielectric,Matbench material,matbench_dielectric,public_benchmark,85,False,True,Electronics / Thermal Interface,benchmark/reference screening,False,2.4219759839161665,Matbench reference row from matbench_dielectric; benchmark/reference screening.,,,,,20.0
matbench_dielectric_00031,matbench_dielectric_31,matbench_dielectric_31,Matbench material,matbench_dielectric,Matbench material,matbench_dielectric,public_benchmark,85,False,True,Electronics / Thermal Interface,benchmark/reference screening,False,1.8932521402778522,Matbench reference row from matbench_dielectric; benchmark/reference screening.,,,,,20.0
matbench_dielectric_00032,matbench_dielectric_32,matbench_dielectric_32,Matbench material,matbench_dielectric,Matbench material,matbench_dielectric,public_benchmark,85,False,True,Electronics / Thermal Interface,benchmark/reference screening,False,2.697724164303435,Matbench reference row from matbench_dielectric; benchmark/reference screening.,,,,,20.0
matbench_dielectric_00033,matbench_dielectric_33,matbench_dielectric_33,Matbench material,matbench_dielectric,Matbench material,matbench_dielectric,public_benchmark,85,False,True,Electronics / Thermal Interface,benchmark/reference screening,False,1.8898024588123843,Matbench reference row from matbench_dielectric; benchmark/reference screening.,,,,,20.0
matbench_dielectric_00034,matbench_dielectric_34,matbench_dielectric_34,Matbench material,matbench_dielectric,Matbench material,matbench_dielectric,public_benchmark,85,False,True,Electronics / Thermal Interface,benchmark/reference screening,False,1.980909471261454,Matbench reference row from matbench_dielectric; benchmark/reference screening.,,,,,20.0
matbench_dielectric_00035,matbench_dielectric_35,matbench_dielectric_35,Matbench material,matbench_dielectric,Matbench material,matbench_dielectric,public_benchmark,85,False,True,Electronics / Thermal Interface,benchmark/reference screening,False,1.9344249791644088,Matbench reference row from matbench_dielectric; benchmark/reference screening.,,,,,20.0
matbench_dielectric_00036,matbench_dielectric_36,matbench_dielectric_36,Matbench material,matbench_dielectric,Matbench material,matbench_dielectric,public_benchmark,85,False,True,Electronics / Thermal Interface,benchmark/reference screening,False,1.7971544174054714,Matbench reference row from matbench_dielectric; benchmark/reference screening.,,,,,20.0
matbench_dielectric_00037,matbench_dielectric_37,matbench_dielectric_37,Matbench material,matbench_dielectric,Matbench material,matbench_dielectric,public_benchmark,85,False,True,Electronics / Thermal Interface,benchmark/reference screening,False,2.189977168813812,Matbench reference row from matbench_dielectric; benchmark/reference screening.,,,,,20.0
matbench_dielectric_00038,matbench_dielectric_38,matbench_dielectric_38,Matbench material,matbench_dielectric,Matbench material,matbench_dielectric,public_benchmark,85,False,True,Electronics / Thermal Interface,benchmark/reference screening,False,2.338098871590616,Matbench reference row from matbench_dielectric; benchmark/reference screening.,,,,,20.0
matbench_dielectric_00039,matbench_dielectric_39,matbench_dielectric_39,Matbench material,matbench_dielectric,Matbench material,matbench_dielectric,public_benchmark,85,False,True,Electronics / Thermal Interface,benchmark/reference screening,False,3.0468834897317616,Matbench reference row from matbench_dielectric; benchmark/reference screening.,,,,,20.0
matbench_dielectric_00040,matbench_dielectric_40,matbench_dielectric_40,Matbench material,matbench_dielectric,Matbench material,matbench_dielectric,public_benchmark,85,False,True,Electronics / Thermal Interface,benchmark/reference screening,False,1.706842015731587,Matbench reference row from matbench_dielectric; benchmark/reference screening.,,,,,20.0
matbench_dielectric_00041,matbench_dielectric_41,matbench_dielectric_41,Matbench material,matbench_dielectric,Matbench material,matbench_dielectric,public_benchmark,85,False,True,Electronics / Thermal Interface,benchmark/reference screening,False,2.464982555719208,Matbench reference row from matbench_dielectric; benchmark/reference screening.,,,,,20.0
matbench_dielectric_00042,matbench_dielectric_42,matbench_dielectric_42,Matbench material,matbench_dielectric,Matbench material,matbench_dielectric,public_benchmark,85,False,True,Electronics / Thermal Interface,benchmark/reference screening,False,1.465016950982716,Matbench reference row from matbench_dielectric; benchmark/reference screening.,,,,,20.0
matbench_dielectric_00043,matbench_dielectric_43,matbench_dielectric_43,Matbench material,matbench_dielectric,Matbench material,matbench_dielectric,public_benchmark,85,False,True,Electronics / Thermal Interface,benchmark/reference screening,False,4.168143991434717,Matbench reference row from matbench_dielectric; benchmark/reference screening.,,,,,20.0
matbench_dielectric_00044,matbench_dielectric_44,matbench_dielectric_44,Matbench material,matbench_dielectric,Matbench material,matbench_dielectric,public_benchmark,85,False,True,Electronics / Thermal Interface,benchmark/reference screening,False,7.057081313593224,Matbench reference row from matbench_dielectric; benchmark/reference screening.,,,,,20.0
matbench_dielectric_00045,matbench_dielectric_45,matbench_dielectric_45,Matbench material,matbench_dielectric,Matbench material,matbench_dielectric,public_benchmark,85,False,True,Electronics / Thermal Interface,benchmark/reference screening,False,3.032020338542082,Matbench reference row from matbench_dielectric; benchmark/reference screening.,,,,,20.0
matbench_dielectric_00046,matbench_dielectric_46,matbench_dielectric_46,Matbench material,matbench_dielectric,Matbench material,matbench_dielectric,public_benchmark,85,False,True,Electronics / Thermal Interface,benchmark/reference screening,False,2.878486292017612,Matbench reference row from matbench_dielectric; benchmark/reference screening.,,,,,20.0
matbench_dielectric_00047,matbench_dielectric_47,matbench_dielectric_47,Matbench material,matbench_dielectric,Matbench material,matbench_dielectric,public_benchmark,85,False,True,Electronics / Thermal Interface,benchmark/reference screening,False,2.868607153306287,Matbench reference row from matbench_dielectric; benchmark/reference screening.,,,,,20.0
matbench_dielectric_00048,matbench_dielectric_48,matbench_dielectric_48,Matbench material,matbench_dielectric,Matbench material,matbench_dielectric,public_benchmark,85,False,True,Electronics / Thermal Interface,benchmark/reference screening,False,1.8209356569265847,Matbench reference row from matbench_dielectric; benchmark/reference screening.,,,,,20.0
matbench_dielectric_00049,matbench_dielectric_49,matbench_dielectric_49,Matbench material,matbench_dielectric,Matbench material,matbench_dielectric,public_benchmark,85,False,True,Electronics / Thermal Interface,benchmark/reference screening,False,2.928568933796844,Matbench reference row from matbench_dielectric; benchmark/reference screening.,,,,,20.0
matbench_dielectric_00050,matbench_dielectric_50,matbench_dielectric_50,Matbench material,matbench_dielectric,Matbench material,matbench_dielectric,public_benchmark,85,False,True,Electronics / Thermal Interface,benchmark/reference screening,False,3.1864654922552242,Matbench reference row from matbench_dielectric; benchmark/reference screening.,,,,,20.0
matbench_dielectric_00051,matbench_dielectric_51,matbench_dielectric_51,Matbench material,matbench_dielectric,Matbench material,matbench_dielectric,public_benchmark,85,False,True,Electronics / Thermal Interface,benchmark/reference screening,False,3.2598568475727294,Matbench reference row from matbench_dielectric; benchmark/reference screening.,,,,,20.0
matbench_dielectric_00052,matbench_dielectric_52,matbench_dielectric_52,Matbench material,matbench_dielectric,Matbench material,matbench_dielectric,public_benchmark,85,False,True,Electronics / Thermal Interface,benchmark/reference screening,False,2.6869483309757434,Matbench reference row from matbench_dielectric; benchmark/reference screening.,,,,,20.0
matbench_dielectric_00053,matbench_dielectric_53,matbench_dielectric_53,Matbench material,matbench_dielectric,Matbench material,matbench_dielectric,public_benchmark,85,False,True,Electronics / Thermal Interface,benchmark/reference screening,False,3.013125840938831,Matbench reference row from matbench_dielectric; benchmark/reference screening.,,,,,20.0
matbench_dielectric_00054,matbench_dielectric_54,matbench_dielectric_54,Matbench material,matbench_dielectric,Matbench material,matbench_dielectric,public_benchmark,85,False,True,Electronics / Thermal Interface,benchmark/reference screening,False,3.0382326002683424,Matbench reference row from matbench_dielectric; benchmark/reference screening.,,,,,20.0
matbench_dielectric_00055,matbench_dielectric_55,matbench_dielectric_55,Matbench material,matbench_dielectric,Matbench material,matbench_dielectric,public_benchmark,85,False,True,Electronics / Thermal Interface,benchmark/reference screening,False,4.852215988597375,Matbench reference row from matbench_dielectric; benchmark/reference screening.,,,,,20.0
matbench_dielectric_00056,matbench_dielectric_56,matbench_dielectric_56,Matbench material,matbench_dielectric,Matbench material,matbench_dielectric,public_benchmark,85,False,True,Electronics / Thermal Interface,benchmark/reference screening,False,1.507309413049181,Matbench reference row from matbench_dielectric; benchmark/reference screening.,,,,,20.0
matbench_dielectric_00057,matbench_dielectric_57,matbench_dielectric_57,Matbench material,matbench_dielectric,Matbench material,matbench_dielectric,public_benchmark,85,False,True,Electronics / Thermal Interface,benchmark/reference screening,False,1.8015767168418597,Matbench reference row from matbench_dielectric; benchmark/reference screening.,,,,,20.0
matbench_dielectric_00058,matbench_dielectric_58,matbench_dielectric_58,Matbench material,matbench_dielectric,Matbench material,matbench_dielectric,public_benchmark,85,False,True,Electronics / Thermal Interface,benchmark/reference screening,False,2.4532481869282337,Matbench reference row from matbench_dielectric; benchmark/reference screening.,,,,,20.0
matbench_dielectric_00059,matbench_dielectric_59,matbench_dielectric_59,Matbench material,matbench_dielectric,Matbench material,matbench_dielectric,public_benchmark,85,False,True,Electronics / Thermal Interface,benchmark/reference screening,False,2.758195303696484,Matbench reference row from matbench_dielectric; benchmark/reference screening.,,,,,20.0
matbench_dielectric_00060,matbench_dielectric_60,matbench_dielectric_60,Matbench material,matbench_dielectric,Matbench material,matbench_dielectric,public_benchmark,85,False,True,Electronics / Thermal Interface,benchmark/reference screening,False,3.9697187137965515,Matbench reference row from matbench_dielectric; benchmark/reference screening.,,,,,20.0
matbench_dielectric_00061,matbench_dielectric_61,matbench_dielectric_61,Matbench material,matbench_dielectric,Matbench material,matbench_dielectric,public_benchmark,85,False,True,Electronics / Thermal Interface,benchmark/reference screening,False,2.8633313930921336,Matbench reference row from matbench_dielectric; benchmark/reference screening.,,,,,20.0
matbench_dielectric_00062,matbench_dielectric_62,matbench_dielectric_62,Matbench material,matbench_dielectric,Matbench material,matbench_dielectric,public_benchmark,85,False,True,Electronics / Thermal Interface,benchmark/reference screening,False,3.1325708292059513,Matbench reference row from matbench_dielectric; benchmark/reference screening.,,,,,20.0
matbench_dielectric_00063,matbench_dielectric_63,matbench_dielectric_63,Matbench material,matbench_dielectric,Matbench material,matbench_dielectric,public_benchmark,85,False,True,Electronics / Thermal Interface,benchmark/reference screening,False,1.4604641050632508,Matbench reference row from matbench_dielectric; benchmark/reference screening.,,,,,20.0
matbench_dielectric_00064,matbench_dielectric_64,matbench_dielectric_64,Matbench material,matbench_dielectric,Matbench material,matbench_dielectric,public_benchmark,85,False,True,Electronics / Thermal Interface,benchmark/reference screening,False,1.4052790944625002,Matbench reference row from matbench_dielectric; benchmark/reference screening.,,,,,20.0
matbench_dielectric_00065,matbench_dielectric_65,matbench_dielectric_65,Matbench material,matbench_dielectric,Matbench material,matbench_dielectric,public_benchmark,85,False,True,Electronics / Thermal Interface,benchmark/reference screening,False,3.968053763076638,Matbench reference row from matbench_dielectric; benchmark/reference screening.,,,,,20.0
matbench_dielectric_00066,matbench_dielectric_66,matbench_dielectric_66,Matbench material,matbench_dielectric,Matbench material,matbench_dielectric,public_benchmark,85,False,True,Electronics / Thermal Interface,benchmark/reference screening,False,1.8668244873760003,Matbench reference row from matbench_dielectric; benchmark/reference screening.,,,,,20.0
matbench_dielectric_00067,matbench_dielectric_67,matbench_dielectric_67,Matbench material,matbench_dielectric,Matbench material,matbench_dielectric,public_benchmark,85,False,True,Electronics / Thermal Interface,benchmark/reference screening,False,2.6600899107611577,Matbench reference row from matbench_dielectric; benchmark/reference screening.,,,,,20.0
matbench_dielectric_00068,matbench_dielectric_68,matbench_dielectric_68,Matbench material,matbench_dielectric,Matbench material,matbench_dielectric,public_benchmark,85,False,True,Electronics / Thermal Interface,benchmark/reference screening,False,3.4746702481438385,Matbench reference row from matbench_dielectric; benchmark/reference screening.,,,,,20.0
matbench_dielectric_00069,matbench_dielectric_69,matbench_dielectric_69,Matbench material,matbench_dielectric,Matbench material,matbench_dielectric,public_benchmark,85,False,True,Electronics / Thermal Interface,benchmark/reference screening,False,2.714283883458028,Matbench reference row from matbench_dielectric; benchmark/reference screening.,,,,,20.0
matbench_dielectric_00070,matbench_dielectric_70,matbench_dielectric_70,Matbench material,matbench_dielectric,Matbench material,matbench_dielectric,public_benchmark,85,False,True,Electronics / Thermal Interface,benchmark/reference screening,False,1.5250136611268135,Matbench reference row from matbench_dielectric; benchmark/reference screening.,,,,,20.0
matbench_dielectric_00071,matbench_dielectric_71,matbench_dielectric_71,Matbench material,matbench_dielectric,Matbench material,matbench_dielectric,public_benchmark,85,False,True,Electronics / Thermal Interface,benchmark/reference screening,False,3.9303519774527405,Matbench reference row from matbench_dielectric; benchmark/reference screening.,,,,,20.0
matbench_dielectric_00072,matbench_dielectric_72,matbench_dielectric_72,Matbench material,matbench_dielectric,Matbench material,matbench_dielectric,public_benchmark,85,False,True,Electronics / Thermal Interface,benchmark/reference screening,False,1.350185172485611,Matbench reference row from matbench_dielectric; benchmark/reference screening.,,,,,20.0
matbench_dielectric_00073,matbench_dielectric_73,matbench_dielectric_73,Matbench material,matbench_dielectric,Matbench material,matbench_dielectric,public_benchmark,85,False,True,Electronics / Thermal Interface,benchmark/reference screening,False,1.8586097851171806,Matbench reference row from matbench_dielectric; benchmark/reference screening.,,,,,20.0
matbench_dielectric_00074,matbench_dielectric_74,matbench_dielectric_74,Matbench material,matbench_dielectric,Matbench material,matbench_dielectric,public_benchmark,85,False,True,Electronics / Thermal Interface,benchmark/reference screening,False,1.9801239018472219,Matbench reference row from matbench_dielectric; benchmark/reference screening.,,,,,20.0
matbench_dielectric_00075,matbench_dielectric_75,matbench_dielectric_75,Matbench material,matbench_dielectric,Matbench material,matbench_dielectric,public_benchmark,85,False,True,Electronics / Thermal Interface,benchmark/reference screening,False,1.7655027612552967,Matbench reference row from matbench_dielectric; benchmark/reference screening.,,,,,20.0
matbench_dielectric_00076,matbench_dielectric_76,matbench_dielectric_76,Matbench material,matbench_dielectric,Matbench material,matbench_dielectric,public_benchmark,85,False,True,Electronics / Thermal Interface,benchmark/reference screening,False,4.6191629833408845,Matbench reference row from matbench_dielectric; benchmark/reference screening.,,,,,20.0
matbench_dielectric_00077,matbench_dielectric_77,matbench_dielectric_77,Matbench material,matbench_dielectric,Matbench material,matbench_dielectric,public_benchmark,85,False,True,Electronics / Thermal Interface,benchmark/reference screening,False,1.4094877320028891,Matbench reference row from matbench_dielectric; benchmark/reference screening.,,,,,20.0
matbench_dielectric_00078,matbench_dielectric_78,matbench_dielectric_78,Matbench material,matbench_dielectric,Matbench material,matbench_dielectric,public_benchmark,85,False,True,Electronics / Thermal Interface,benchmark/reference screening,False,1.3964240043888014,Matbench reference row from matbench_dielectric; benchmark/reference screening.,,,,,20.0
matbench_dielectric_00079,matbench_dielectric_79,matbench_dielectric_79,Matbench material,matbench_dielectric,Matbench material,matbench_dielectric,public_benchmark,85,False,True,Electronics / Thermal Interface,benchmark/reference screening,False,1.9889645547369617,Matbench reference row from matbench_dielectric; benchmark/reference screening.,,,,,20.0
matbench_dielectric_00080,matbench_dielectric_80,matbench_dielectric_80,Matbench material,matbench_dielectric,Matbench material,matbench_dielectric,public_benchmark,85,False,True,Electronics / Thermal Interface,benchmark/reference screening,False,1.664890687102305,Matbench reference row from matbench_dielectric; benchmark/reference screening.,,,,,20.0
matbench_dielectric_00081,matbench_dielectric_81,matbench_dielectric_81,Matbench material,matbench_dielectric,Matbench material,matbench_dielectric,public_benchmark,85,False,True,Electronics / Thermal Interface,benchmark/reference screening,False,11.709114967978296,Matbench reference row from matbench_dielectric; benchmark/reference screening.,,,,,20.0
matbench_dielectric_00082,matbench_dielectric_82,matbench_dielectric_82,Matbench material,matbench_dielectric,Matbench material,matbench_dielectric,public_benchmark,85,False,True,Electronics / Thermal Interface,benchmark/reference screening,False,1.5146782936760312,Matbench reference row from matbench_dielectric; benchmark/reference screening.,,,,,20.0
matbench_dielectric_00083,matbench_dielectric_83,matbench_dielectric_83,Matbench material,matbench_dielectric,Matbench material,matbench_dielectric,public_benchmark,85,False,True,Electronics / Thermal Interface,benchmark/reference screening,False,2.951872740592451,Matbench reference row from matbench_dielectric; benchmark/reference screening.,,,,,20.0
matbench_dielectric_00084,matbench_dielectric_84,matbench_dielectric_84,Matbench material,matbench_dielectric,Matbench material,matbench_dielectric,public_benchmark,85,False,True,Electronics / Thermal Interface,benchmark/reference screening,False,1.7613562009618193,Matbench reference row from matbench_dielectric; benchmark/reference screening.,,,,,20.0
matbench_dielectric_00085,matbench_dielectric_85,matbench_dielectric_85,Matbench material,matbench_dielectric,Matbench material,matbench_dielectric,public_benchmark,85,False,True,Electronics / Thermal Interface,benchmark/reference screening,False,3.8789603418098255,Matbench reference row from matbench_dielectric; benchmark/reference screening.,,,,,20.0
matbench_dielectric_00086,matbench_dielectric_86,matbench_dielectric_86,Matbench material,matbench_dielectric,Matbench material,matbench_dielectric,public_benchmark,85,False,True,Electronics / Thermal Interface,benchmark/reference screening,False,1.6407889362539392,Matbench reference row from matbench_dielectric; benchmark/reference screening.,,,,,20.0
matbench_dielectric_00087,matbench_dielectric_87,matbench_dielectric_87,Matbench material,matbench_dielectric,Matbench material,matbench_dielectric,public_benchmark,85,False,True,Electronics / Thermal Interface,benchmark/reference screening,False,1.885771283409888,Matbench reference row from matbench_dielectric; benchmark/reference screening.,,,,,20.0
matbench_dielectric_00088,matbench_dielectric_88,matbench_dielectric_88,Matbench material,matbench_dielectric,Matbench material,matbench_dielectric,public_benchmark,85,False,True,Electronics / Thermal Interface,benchmark/reference screening,False,3.480852386030394,Matbench reference row from matbench_dielectric; benchmark/reference screening.,,,,,20.0
matbench_dielectric_00089,matbench_dielectric_89,matbench_dielectric_89,Matbench material,matbench_dielectric,Matbench material,matbench_dielectric,public_benchmark,85,False,True,Electronics / Thermal Interface,benchmark/reference screening,False,1.8867078911868331,Matbench reference row from matbench_dielectric; benchmark/reference screening.,,,,,20.0
matbench_dielectric_00090,matbench_dielectric_90,matbench_dielectric_90,Matbench material,matbench_dielectric,Matbench material,matbench_dielectric,public_benchmark,85,False,True,Electronics / Thermal Interface,benchmark/reference screening,False,4.026095378900008,Matbench reference row from matbench_dielectric; benchmark/reference screening.,,,,,20.0
matbench_dielectric_00091,matbench_dielectric_91,matbench_dielectric_91,Matbench material,matbench_dielectric,Matbench material,matbench_dielectric,public_benchmark,85,False,True,Electronics / Thermal Interface,benchmark/reference screening,False,2.6416650683486123,Matbench reference row from matbench_dielectric; benchmark/reference screening.,,,,,20.0
