material_id,material_name,formula,material_family,material_subfamily,family,source_dataset,source_type,source_trust_score,used_for_ml_training,model_registry_eligible,application_subsystem,recommendation_basis,engineer_reviewed,bulk_modulus_gpa,notes
matbench_log_kvrh_00000,matbench_log_kvrh_0,matbench_log_kvrh_0,Matbench material,matbench_log_kvrh,Matbench material,matbench_log_kvrh,public_benchmark,85,False,True,General Material Reuse,benchmark/reference screening,False,50.999999999999986,Matbench reference row from matbench_log_kvrh; benchmark/reference screening.
matbench_log_kvrh_00017,matbench_log_kvrh_17,matbench_log_kvrh_17,Matbench material,matbench_log_kvrh,Matbench material,matbench_log_kvrh,public_benchmark,85,False,True,General Material Reuse,benchmark/reference screening,False,32.00000000000001,Matbench reference row from matbench_log_kvrh; benchmark/reference screening.
matbench_log_kvrh_00018,matbench_log_kvrh_18,matbench_log_kvrh_18,Matbench material,matbench_log_kvrh,Matbench material,matbench_log_kvrh,public_benchmark,85,False,True,General Material Reuse,benchmark/reference screening,False,82.0,Matbench reference row from matbench_log_kvrh; benchmark/reference screening.
matbench_log_kvrh_00019,matbench_log_kvrh_19,matbench_log_kvrh_19,Matbench material,matbench_log_kvrh,Matbench material,matbench_log_kvrh,public_benchmark,85,False,True,General Material Reuse,benchmark/reference screening,False,11.000000000000002,Matbench reference row from matbench_log_kvrh; benchmark/reference screening.
matbench_log_kvrh_00020,matbench_log_kvrh_20,matbench_log_kvrh_20,Matbench material,matbench_log_kvrh,Matbench material,matbench_log_kvrh,public_benchmark,85,False,True,General Material Reuse,benchmark/reference screening,False,35.0,Matbench reference row from matbench_log_kvrh; benchmark/reference screening.
matbench_log_kvrh_00021,matbench_log_kvrh_21,matbench_log_kvrh_21,Matbench material,matbench_log_kvrh,Matbench material,matbench_log_kvrh,public_benchmark,85,False,True,General Material Reuse,benchmark/reference screening,False,191.00000000000006,Matbench reference row from matbench_log_kvrh; benchmark/reference screening.
matbench_log_kvrh_00022,matbench_log_kvrh_22,matbench_log_kvrh_22,Matbench material,matbench_log_kvrh,Matbench material,matbench_log_kvrh,public_benchmark,85,False,True,General Material Reuse,benchmark/reference screening,False,93.99999999999997,Matbench reference row from matbench_log_kvrh; benchmark/reference screening.
matbench_log_kvrh_00023,matbench_log_kvrh_23,matbench_log_kvrh_23,Matbench material,matbench_log_kvrh,Matbench material,matbench_log_kvrh,public_benchmark,85,False,True,General Material Reuse,benchmark/reference screening,False,32.00000000000001,Matbench reference row from matbench_log_kvrh; benchmark/reference screening.
matbench_log_kvrh_00024,matbench_log_kvrh_24,matbench_log_kvrh_24,Matbench material,matbench_log_kvrh,Matbench material,matbench_log_kvrh,public_benchmark,85,False,True,General Material Reuse,benchmark/reference screening,False,38.99999999999999,Matbench reference row from matbench_log_kvrh; benchmark/reference screening.
matbench_log_kvrh_00025,matbench_log_kvrh_25,matbench_log_kvrh_25,Matbench material,matbench_log_kvrh,Matbench material,matbench_log_kvrh,public_benchmark,85,False,True,General Material Reuse,benchmark/reference screening,False,82.0,Matbench reference row from matbench_log_kvrh; benchmark/reference screening.
matbench_log_kvrh_00026,matbench_log_kvrh_26,matbench_log_kvrh_26,Matbench material,matbench_log_kvrh,Matbench material,matbench_log_kvrh,public_benchmark,85,False,True,General Material Reuse,benchmark/reference screening,False,77.0,Matbench reference row from matbench_log_kvrh; benchmark/reference screening.
matbench_log_kvrh_00027,matbench_log_kvrh_27,matbench_log_kvrh_27,Matbench material,matbench_log_kvrh,Matbench material,matbench_log_kvrh,public_benchmark,85,False,True,General Material Reuse,benchmark/reference screening,False,179.99999999999997,Matbench reference row from matbench_log_kvrh; benchmark/reference screening.
matbench_log_kvrh_00028,matbench_log_kvrh_28,matbench_log_kvrh_28,Matbench material,matbench_log_kvrh,Matbench material,matbench_log_kvrh,public_benchmark,85,False,True,General Material Reuse,benchmark/reference screening,False,52.999999999999986,Matbench reference row from matbench_log_kvrh; benchmark/reference screening.
matbench_log_kvrh_00029,matbench_log_kvrh_29,matbench_log_kvrh_29,Matbench material,matbench_log_kvrh,Matbench material,matbench_log_kvrh,public_benchmark,85,False,True,General Material Reuse,benchmark/reference screening,False,58.00000000000001,Matbench reference row from matbench_log_kvrh; benchmark/reference screening.
matbench_log_kvrh_00030,matbench_log_kvrh_30,matbench_log_kvrh_30,Matbench material,matbench_log_kvrh,Matbench material,matbench_log_kvrh,public_benchmark,85,False,True,General Material Reuse,benchmark/reference screening,False,58.00000000000001,Matbench reference row from matbench_log_kvrh; benchmark/reference screening.
matbench_log_kvrh_00031,matbench_log_kvrh_31,matbench_log_kvrh_31,Matbench material,matbench_log_kvrh,Matbench material,matbench_log_kvrh,public_benchmark,85,False,True,General Material Reuse,benchmark/reference screening,False,101.00000000000001,Matbench reference row from matbench_log_kvrh; benchmark/reference screening.
matbench_log_kvrh_00032,matbench_log_kvrh_32,matbench_log_kvrh_32,Matbench material,matbench_log_kvrh,Matbench material,matbench_log_kvrh,public_benchmark,85,False,True,General Material Reuse,benchmark/reference screening,False,77.0,Matbench reference row from matbench_log_kvrh; benchmark/reference screening.
matbench_log_kvrh_00033,matbench_log_kvrh_33,matbench_log_kvrh_33,Matbench material,matbench_log_kvrh,Matbench material,matbench_log_kvrh,public_benchmark,85,False,True,General Material Reuse,benchmark/reference screening,False,15.000000000000004,Matbench reference row from matbench_log_kvrh; benchmark/reference screening.
matbench_log_kvrh_00034,matbench_log_kvrh_34,matbench_log_kvrh_34,Matbench material,matbench_log_kvrh,Matbench material,matbench_log_kvrh,public_benchmark,85,False,True,General Material Reuse,benchmark/reference screening,False,21.999999999999996,Matbench reference row from matbench_log_kvrh; benchmark/reference screening.
matbench_log_kvrh_00035,matbench_log_kvrh_35,matbench_log_kvrh_35,Matbench material,matbench_log_kvrh,Matbench material,matbench_log_kvrh,public_benchmark,85,False,True,General Material Reuse,benchmark/reference screening,False,68.00000000000001,Matbench reference row from matbench_log_kvrh; benchmark/reference screening.
matbench_log_kvrh_00036,matbench_log_kvrh_36,matbench_log_kvrh_36,Matbench material,matbench_log_kvrh,Matbench material,matbench_log_kvrh,public_benchmark,85,False,True,General Material Reuse,benchmark/reference screening,False,33.0,Matbench reference row from matbench_log_kvrh; benchmark/reference screening.
matbench_log_kvrh_00037,matbench_log_kvrh_37,matbench_log_kvrh_37,Matbench material,matbench_log_kvrh,Matbench material,matbench_log_kvrh,public_benchmark,85,False,True,General Material Reuse,benchmark/reference screening,False,52.00000000000001,Matbench reference row from matbench_log_kvrh; benchmark/reference screening.
matbench_log_kvrh_00038,matbench_log_kvrh_38,matbench_log_kvrh_38,Matbench material,matbench_log_kvrh,Matbench material,matbench_log_kvrh,public_benchmark,85,False,True,General Material Reuse,benchmark/reference screening,False,193.00000000000006,Matbench reference row from matbench_log_kvrh; benchmark/reference screening.
matbench_log_kvrh_00039,matbench_log_kvrh_39,matbench_log_kvrh_39,Matbench material,matbench_log_kvrh,Matbench material,matbench_log_kvrh,public_benchmark,85,False,True,General Material Reuse,benchmark/reference screening,False,77.0,Matbench reference row from matbench_log_kvrh; benchmark/reference screening.
matbench_log_kvrh_00040,matbench_log_kvrh_40,matbench_log_kvrh_40,Matbench material,matbench_log_kvrh,Matbench material,matbench_log_kvrh,public_benchmark,85,False,True,General Material Reuse,benchmark/reference screening,False,26.0,Matbench reference row from matbench_log_kvrh; benchmark/reference screening.
matbench_log_kvrh_00041,matbench_log_kvrh_41,matbench_log_kvrh_41,Matbench material,matbench_log_kvrh,Matbench material,matbench_log_kvrh,public_benchmark,85,False,True,General Material Reuse,benchmark/reference screening,False,12.000000000000002,Matbench reference row from matbench_log_kvrh; benchmark/reference screening.
matbench_log_kvrh_00042,matbench_log_kvrh_42,matbench_log_kvrh_42,Matbench material,matbench_log_kvrh,Matbench material,matbench_log_kvrh,public_benchmark,85,False,True,General Material Reuse,benchmark/reference screening,False,15.000000000000004,Matbench reference row from matbench_log_kvrh; benchmark/reference screening.
matbench_log_kvrh_00043,matbench_log_kvrh_43,matbench_log_kvrh_43,Matbench material,matbench_log_kvrh,Matbench material,matbench_log_kvrh,public_benchmark,85,False,True,General Material Reuse,benchmark/reference screening,False,84.99999999999999,Matbench reference row from matbench_log_kvrh; benchmark/reference screening.
matbench_log_kvrh_00044,matbench_log_kvrh_44,matbench_log_kvrh_44,Matbench material,matbench_log_kvrh,Matbench material,matbench_log_kvrh,public_benchmark,85,False,True,General Material Reuse,benchmark/reference screening,False,135.99999999999997,Matbench reference row from matbench_log_kvrh; benchmark/reference screening.
matbench_log_kvrh_00045,matbench_log_kvrh_45,matbench_log_kvrh_45,Matbench material,matbench_log_kvrh,Matbench material,matbench_log_kvrh,public_benchmark,85,False,True,General Material Reuse,benchmark/reference screening,False,154.0,Matbench reference row from matbench_log_kvrh; benchmark/reference screening.
matbench_log_kvrh_00046,matbench_log_kvrh_46,matbench_log_kvrh_46,Matbench material,matbench_log_kvrh,Matbench material,matbench_log_kvrh,public_benchmark,85,False,True,General Material Reuse,benchmark/reference screening,False,72.00000000000001,Matbench reference row from matbench_log_kvrh; benchmark/reference screening.
matbench_log_kvrh_00047,matbench_log_kvrh_47,matbench_log_kvrh_47,Matbench material,matbench_log_kvrh,Matbench material,matbench_log_kvrh,public_benchmark,85,False,True,General Material Reuse,benchmark/reference screening,False,187.00000000000003,Matbench reference row from matbench_log_kvrh; benchmark/reference screening.
matbench_log_kvrh_00048,matbench_log_kvrh_48,matbench_log_kvrh_48,Matbench material,matbench_log_kvrh,Matbench material,matbench_log_kvrh,public_benchmark,85,False,True,General Material Reuse,benchmark/reference screening,False,105.00000000000004,Matbench reference row from matbench_log_kvrh; benchmark/reference screening.
matbench_log_kvrh_00049,matbench_log_kvrh_49,matbench_log_kvrh_49,Matbench material,matbench_log_kvrh,Matbench material,matbench_log_kvrh,public_benchmark,85,False,True,General Material Reuse,benchmark/reference screening,False,153.00000000000003,Matbench reference row from matbench_log_kvrh; benchmark/reference screening.
matbench_log_kvrh_00050,matbench_log_kvrh_50,matbench_log_kvrh_50,Matbench material,matbench_log_kvrh,Matbench material,matbench_log_kvrh,public_benchmark,85,False,True,General Material Reuse,benchmark/reference screening,False,28.0,Matbench reference row from matbench_log_kvrh; benchmark/reference screening.
matbench_log_kvrh_00051,matbench_log_kvrh_51,matbench_log_kvrh_51,Matbench material,matbench_log_kvrh,Matbench material,matbench_log_kvrh,public_benchmark,85,False,True,General Material Reuse,benchmark/reference screening,False,92.99999999999999,Matbench reference row from matbench_log_kvrh; benchmark/reference screening.
matbench_log_kvrh_00052,matbench_log_kvrh_52,matbench_log_kvrh_52,Matbench material,matbench_log_kvrh,Matbench material,matbench_log_kvrh,public_benchmark,85,False,True,General Material Reuse,benchmark/reference screening,False,33.0,Matbench reference row from matbench_log_kvrh; benchmark/reference screening.
matbench_log_kvrh_00053,matbench_log_kvrh_53,matbench_log_kvrh_53,Matbench material,matbench_log_kvrh,Matbench material,matbench_log_kvrh,public_benchmark,85,False,True,General Material Reuse,benchmark/reference screening,False,83.99999999999999,Matbench reference row from matbench_log_kvrh; benchmark/reference screening.
matbench_log_kvrh_00054,matbench_log_kvrh_54,matbench_log_kvrh_54,Matbench material,matbench_log_kvrh,Matbench material,matbench_log_kvrh,public_benchmark,85,False,True,General Material Reuse,benchmark/reference screening,False,82.0,Matbench reference row from matbench_log_kvrh; benchmark/reference screening.
matbench_log_kvrh_00055,matbench_log_kvrh_55,matbench_log_kvrh_55,Matbench material,matbench_log_kvrh,Matbench material,matbench_log_kvrh,public_benchmark,85,False,True,General Material Reuse,benchmark/reference screening,False,79.99999999999999,Matbench reference row from matbench_log_kvrh; benchmark/reference screening.
matbench_log_kvrh_00056,matbench_log_kvrh_56,matbench_log_kvrh_56,Matbench material,matbench_log_kvrh,Matbench material,matbench_log_kvrh,public_benchmark,85,False,True,General Material Reuse,benchmark/reference screening,False,124.00000000000003,Matbench reference row from matbench_log_kvrh; benchmark/reference screening.
matbench_log_kvrh_00057,matbench_log_kvrh_57,matbench_log_kvrh_57,Matbench material,matbench_log_kvrh,Matbench material,matbench_log_kvrh,public_benchmark,85,False,True,General Material Reuse,benchmark/reference screening,False,158.0,Matbench reference row from matbench_log_kvrh; benchmark/reference screening.
matbench_log_kvrh_00058,matbench_log_kvrh_58,matbench_log_kvrh_58,Matbench material,matbench_log_kvrh,Matbench material,matbench_log_kvrh,public_benchmark,85,False,True,General Material Reuse,benchmark/reference screening,False,9.0,Matbench reference row from matbench_log_kvrh; benchmark/reference screening.
matbench_log_kvrh_00059,matbench_log_kvrh_59,matbench_log_kvrh_59,Matbench material,matbench_log_kvrh,Matbench material,matbench_log_kvrh,public_benchmark,85,False,True,General Material Reuse,benchmark/reference screening,False,64.99999999999999,Matbench reference row from matbench_log_kvrh; benchmark/reference screening.
matbench_log_kvrh_00060,matbench_log_kvrh_60,matbench_log_kvrh_60,Matbench material,matbench_log_kvrh,Matbench material,matbench_log_kvrh,public_benchmark,85,False,True,General Material Reuse,benchmark/reference screening,False,81.0,Matbench reference row from matbench_log_kvrh; benchmark/reference screening.
matbench_log_kvrh_00061,matbench_log_kvrh_61,matbench_log_kvrh_61,Matbench material,matbench_log_kvrh,Matbench material,matbench_log_kvrh,public_benchmark,85,False,True,General Material Reuse,benchmark/reference screening,False,52.999999999999986,Matbench reference row from matbench_log_kvrh; benchmark/reference screening.
matbench_log_kvrh_00062,matbench_log_kvrh_62,matbench_log_kvrh_62,Matbench material,matbench_log_kvrh,Matbench material,matbench_log_kvrh,public_benchmark,85,False,True,General Material Reuse,benchmark/reference screening,False,70.99999999999999,Matbench reference row from matbench_log_kvrh; benchmark/reference screening.
matbench_log_kvrh_00063,matbench_log_kvrh_63,matbench_log_kvrh_63,Matbench material,matbench_log_kvrh,Matbench material,matbench_log_kvrh,public_benchmark,85,False,True,General Material Reuse,benchmark/reference screening,False,285.0,Matbench reference row from matbench_log_kvrh; benchmark/reference screening.
matbench_log_kvrh_00064,matbench_log_kvrh_64,matbench_log_kvrh_64,Matbench material,matbench_log_kvrh,Matbench material,matbench_log_kvrh,public_benchmark,85,False,True,General Material Reuse,benchmark/reference screening,False,44.0,Matbench reference row from matbench_log_kvrh; benchmark/reference screening.
matbench_log_kvrh_00065,matbench_log_kvrh_65,matbench_log_kvrh_65,Matbench material,matbench_log_kvrh,Matbench material,matbench_log_kvrh,public_benchmark,85,False,True,General Material Reuse,benchmark/reference screening,False,192.00000000000003,Matbench reference row from matbench_log_kvrh; benchmark/reference screening.
matbench_log_kvrh_00066,matbench_log_kvrh_66,matbench_log_kvrh_66,Matbench material,matbench_log_kvrh,Matbench material,matbench_log_kvrh,public_benchmark,85,False,True,General Material Reuse,benchmark/reference screening,False,45.00000000000001,Matbench reference row from matbench_log_kvrh; benchmark/reference screening.
matbench_log_kvrh_00067,matbench_log_kvrh_67,matbench_log_kvrh_67,Matbench material,matbench_log_kvrh,Matbench material,matbench_log_kvrh,public_benchmark,85,False,True,General Material Reuse,benchmark/reference screening,False,42.99999999999999,Matbench reference row from matbench_log_kvrh; benchmark/reference screening.
matbench_log_kvrh_00068,matbench_log_kvrh_68,matbench_log_kvrh_68,Matbench material,matbench_log_kvrh,Matbench material,matbench_log_kvrh,public_benchmark,85,False,True,General Material Reuse,benchmark/reference screening,False,38.99999999999999,Matbench reference row from matbench_log_kvrh; benchmark/reference screening.
matbench_log_kvrh_00069,matbench_log_kvrh_69,matbench_log_kvrh_69,Matbench material,matbench_log_kvrh,Matbench material,matbench_log_kvrh,public_benchmark,85,False,True,General Material Reuse,benchmark/reference screening,False,38.99999999999999,Matbench reference row from matbench_log_kvrh; benchmark/reference screening.
matbench_log_kvrh_00070,matbench_log_kvrh_70,matbench_log_kvrh_70,Matbench material,matbench_log_kvrh,Matbench material,matbench_log_kvrh,public_benchmark,85,False,True,General Material Reuse,benchmark/reference screening,False,12.000000000000002,Matbench reference row from matbench_log_kvrh; benchmark/reference screening.
matbench_log_kvrh_00071,matbench_log_kvrh_71,matbench_log_kvrh_71,Matbench material,matbench_log_kvrh,Matbench material,matbench_log_kvrh,public_benchmark,85,False,True,General Material Reuse,benchmark/reference screening,False,21.999999999999996,Matbench reference row from matbench_log_kvrh; benchmark/reference screening.
matbench_log_kvrh_00072,matbench_log_kvrh_72,matbench_log_kvrh_72,Matbench material,matbench_log_kvrh,Matbench material,matbench_log_kvrh,public_benchmark,85,False,True,General Material Reuse,benchmark/reference screening,False,49.99999999999999,Matbench reference row from matbench_log_kvrh; benchmark/reference screening.
matbench_log_kvrh_00073,matbench_log_kvrh_73,matbench_log_kvrh_73,Matbench material,matbench_log_kvrh,Matbench material,matbench_log_kvrh,public_benchmark,85,False,True,General Material Reuse,benchmark/reference screening,False,39.99999999999999,Matbench reference row from matbench_log_kvrh; benchmark/reference screening.
matbench_log_kvrh_00074,matbench_log_kvrh_74,matbench_log_kvrh_74,Matbench material,matbench_log_kvrh,Matbench material,matbench_log_kvrh,public_benchmark,85,False,True,General Material Reuse,benchmark/reference screening,False,54.000000000000014,Matbench reference row from matbench_log_kvrh; benchmark/reference screening.
matbench_log_kvrh_00075,matbench_log_kvrh_75,matbench_log_kvrh_75,Matbench material,matbench_log_kvrh,Matbench material,matbench_log_kvrh,public_benchmark,85,False,True,General Material Reuse,benchmark/reference screening,False,149.0,Matbench reference row from matbench_log_kvrh; benchmark/reference screening.
matbench_log_kvrh_00076,matbench_log_kvrh_76,matbench_log_kvrh_76,Matbench material,matbench_log_kvrh,Matbench material,matbench_log_kvrh,public_benchmark,85,False,True,General Material Reuse,benchmark/reference screening,False,48.99999999999999,Matbench reference row from matbench_log_kvrh; benchmark/reference screening.
matbench_log_kvrh_00077,matbench_log_kvrh_77,matbench_log_kvrh_77,Matbench material,matbench_log_kvrh,Matbench material,matbench_log_kvrh,public_benchmark,85,False,True,General Material Reuse,benchmark/reference screening,False,144.99999999999997,Matbench reference row from matbench_log_kvrh; benchmark/reference screening.
matbench_log_kvrh_00078,matbench_log_kvrh_78,matbench_log_kvrh_78,Matbench material,matbench_log_kvrh,Matbench material,matbench_log_kvrh,public_benchmark,85,False,True,General Material Reuse,benchmark/reference screening,False,76.0,Matbench reference row from matbench_log_kvrh; benchmark/reference screening.
matbench_log_kvrh_00079,matbench_log_kvrh_79,matbench_log_kvrh_79,Matbench material,matbench_log_kvrh,Matbench material,matbench_log_kvrh,public_benchmark,85,False,True,General Material Reuse,benchmark/reference screening,False,118.00000000000003,Matbench reference row from matbench_log_kvrh; benchmark/reference screening.
matbench_log_kvrh_00080,matbench_log_kvrh_80,matbench_log_kvrh_80,Matbench material,matbench_log_kvrh,Matbench material,matbench_log_kvrh,public_benchmark,85,False,True,General Material Reuse,benchmark/reference screening,False,101.00000000000001,Matbench reference row from matbench_log_kvrh; benchmark/reference screening.
matbench_log_kvrh_00081,matbench_log_kvrh_81,matbench_log_kvrh_81,Matbench material,matbench_log_kvrh,Matbench material,matbench_log_kvrh,public_benchmark,85,False,True,General Material Reuse,benchmark/reference screening,False,162.99999999999994,Matbench reference row from matbench_log_kvrh; benchmark/reference screening.
matbench_log_kvrh_00082,matbench_log_kvrh_82,matbench_log_kvrh_82,Matbench material,matbench_log_kvrh,Matbench material,matbench_log_kvrh,public_benchmark,85,False,True,General Material Reuse,benchmark/reference screening,False,34.0,Matbench reference row from matbench_log_kvrh; benchmark/reference screening.
matbench_log_kvrh_00083,matbench_log_kvrh_83,matbench_log_kvrh_83,Matbench material,matbench_log_kvrh,Matbench material,matbench_log_kvrh,public_benchmark,85,False,True,General Material Reuse,benchmark/reference screening,False,193.00000000000006,Matbench reference row from matbench_log_kvrh; benchmark/reference screening.
matbench_log_kvrh_00084,matbench_log_kvrh_84,matbench_log_kvrh_84,Matbench material,matbench_log_kvrh,Matbench material,matbench_log_kvrh,public_benchmark,85,False,True,General Material Reuse,benchmark/reference screening,False,16.0,Matbench reference row from matbench_log_kvrh; benchmark/reference screening.
matbench_log_kvrh_00085,matbench_log_kvrh_85,matbench_log_kvrh_85,Matbench material,matbench_log_kvrh,Matbench material,matbench_log_kvrh,public_benchmark,85,False,True,General Material Reuse,benchmark/reference screening,False,37.0,Matbench reference row from matbench_log_kvrh; benchmark/reference screening.
matbench_log_kvrh_00086,matbench_log_kvrh_86,matbench_log_kvrh_86,Matbench material,matbench_log_kvrh,Matbench material,matbench_log_kvrh,public_benchmark,85,False,True,General Material Reuse,benchmark/reference screening,False,16.0,Matbench reference row from matbench_log_kvrh; benchmark/reference screening.
matbench_log_kvrh_00087,matbench_log_kvrh_87,matbench_log_kvrh_87,Matbench material,matbench_log_kvrh,Matbench material,matbench_log_kvrh,public_benchmark,85,False,True,General Material Reuse,benchmark/reference screening,False,49.99999999999999,Matbench reference row from matbench_log_kvrh; benchmark/reference screening.
matbench_log_kvrh_00088,matbench_log_kvrh_88,matbench_log_kvrh_88,Matbench material,matbench_log_kvrh,Matbench material,matbench_log_kvrh,public_benchmark,85,False,True,General Material Reuse,benchmark/reference screening,False,29.0,Matbench reference row from matbench_log_kvrh; benchmark/reference screening.
matbench_log_kvrh_00089,matbench_log_kvrh_89,matbench_log_kvrh_89,Matbench material,matbench_log_kvrh,Matbench material,matbench_log_kvrh,public_benchmark,85,False,True,General Material Reuse,benchmark/reference screening,False,22.999999999999996,Matbench reference row from matbench_log_kvrh; benchmark/reference screening.
matbench_log_kvrh_00090,matbench_log_kvrh_90,matbench_log_kvrh_90,Matbench material,matbench_log_kvrh,Matbench material,matbench_log_kvrh,public_benchmark,85,False,True,General Material Reuse,benchmark/reference screening,False,181.00000000000003,Matbench reference row from matbench_log_kvrh; benchmark/reference screening.
matbench_log_kvrh_00091,matbench_log_kvrh_91,matbench_log_kvrh_91,Matbench material,matbench_log_kvrh,Matbench material,matbench_log_kvrh,public_benchmark,85,False,True,General Material Reuse,benchmark/reference screening,False,40.99999999999999,Matbench reference row from matbench_log_kvrh; benchmark/reference screening.
matbench_log_kvrh_00092,matbench_log_kvrh_92,matbench_log_kvrh_92,Matbench material,matbench_log_kvrh,Matbench material,matbench_log_kvrh,public_benchmark,85,False,True,General Material Reuse,benchmark/reference screening,False,68.00000000000001,Matbench reference row from matbench_log_kvrh; benchmark/reference screening.
matbench_log_kvrh_00093,matbench_log_kvrh_93,matbench_log_kvrh_93,Matbench material,matbench_log_kvrh,Matbench material,matbench_log_kvrh,public_benchmark,85,False,True,General Material Reuse,benchmark/reference screening,False,21.999999999999996,Matbench reference row from matbench_log_kvrh; benchmark/reference screening.
matbench_log_kvrh_00094,matbench_log_kvrh_94,matbench_log_kvrh_94,Matbench material,matbench_log_kvrh,Matbench material,matbench_log_kvrh,public_benchmark,85,False,True,General Material Reuse,benchmark/reference screening,False,89.0,Matbench reference row from matbench_log_kvrh; benchmark/reference screening.
