material_id,material_name,formula,material_family,material_subfamily,family,source_dataset,source_type,source_trust_score,used_for_ml_training,model_registry_eligible,application_subsystem,recommendation_basis,engineer_reviewed,band_gap_ev,notes
matbench_expt_gap_00000,Ag(AuS)2,Ag(AuS)2,Matbench material,matbench_expt_gap,Matbench material,matbench_expt_gap,public_benchmark,85,False,True,Electronics / Thermal Interface,benchmark/reference screening,False,0.0,Matbench reference row from matbench_expt_gap; benchmark/reference screening.
matbench_expt_gap_00019,Ag7NO11,Ag7NO11,Matbench material,matbench_expt_gap,Matbench material,matbench_expt_gap,public_benchmark,85,False,True,Electronics / Thermal Interface,benchmark/reference screening,False,0.0,Matbench reference row from matbench_expt_gap; benchmark/reference screening.
matbench_expt_gap_00020,Ag8GeS6,Ag8GeS6,Matbench material,matbench_expt_gap,Matbench material,matbench_expt_gap,public_benchmark,85,False,True,Electronics / Thermal Interface,benchmark/reference screening,False,1.18,Matbench reference row from matbench_expt_gap; benchmark/reference screening.
matbench_expt_gap_00021,Ag8SnSe6,Ag8SnSe6,Matbench material,matbench_expt_gap,Matbench material,matbench_expt_gap,public_benchmark,85,False,True,Electronics / Thermal Interface,benchmark/reference screening,False,0.71,Matbench reference row from matbench_expt_gap; benchmark/reference screening.
matbench_expt_gap_00022,Ag9(PbO3)4,Ag9(PbO3)4,Matbench material,matbench_expt_gap,Matbench material,matbench_expt_gap,public_benchmark,85,False,True,Electronics / Thermal Interface,benchmark/reference screening,False,0.0,Matbench reference row from matbench_expt_gap; benchmark/reference screening.
matbench_expt_gap_00023,Ag9Ge2IO8,Ag9Ge2IO8,Matbench material,matbench_expt_gap,Matbench material,matbench_expt_gap,public_benchmark,85,False,True,Electronics / Thermal Interface,benchmark/reference screening,False,0.0,Matbench reference row from matbench_expt_gap; benchmark/reference screening.
matbench_expt_gap_00024,AgAsSe2,AgAsSe2,Matbench material,matbench_expt_gap,Matbench material,matbench_expt_gap,public_benchmark,85,False,True,Electronics / Thermal Interface,benchmark/reference screening,False,1.4,Matbench reference row from matbench_expt_gap; benchmark/reference screening.
matbench_expt_gap_00025,AgAu3,AgAu3,Matbench material,matbench_expt_gap,Matbench material,matbench_expt_gap,public_benchmark,85,False,True,Electronics / Thermal Interface,benchmark/reference screening,False,0.0,Matbench reference row from matbench_expt_gap; benchmark/reference screening.
matbench_expt_gap_00026,AgBi(PS3)2,AgBi(PS3)2,Matbench material,matbench_expt_gap,Matbench material,matbench_expt_gap,public_benchmark,85,False,True,Electronics / Thermal Interface,benchmark/reference screening,False,1.7,Matbench reference row from matbench_expt_gap; benchmark/reference screening.
matbench_expt_gap_00027,AgBi(PSe3)2,AgBi(PSe3)2,Matbench material,matbench_expt_gap,Matbench material,matbench_expt_gap,public_benchmark,85,False,True,Electronics / Thermal Interface,benchmark/reference screening,False,1.4,Matbench reference row from matbench_expt_gap; benchmark/reference screening.
matbench_expt_gap_00028,AgBiPbS3,AgBiPbS3,Matbench material,matbench_expt_gap,Matbench material,matbench_expt_gap,public_benchmark,85,False,True,Electronics / Thermal Interface,benchmark/reference screening,False,1.2,Matbench reference row from matbench_expt_gap; benchmark/reference screening.
matbench_expt_gap_00029,AgBiPbSe3,AgBiPbSe3,Matbench material,matbench_expt_gap,Matbench material,matbench_expt_gap,public_benchmark,85,False,True,Electronics / Thermal Interface,benchmark/reference screening,False,0.13,Matbench reference row from matbench_expt_gap; benchmark/reference screening.
matbench_expt_gap_00030,AgBiS2,AgBiS2,Matbench material,matbench_expt_gap,Matbench material,matbench_expt_gap,public_benchmark,85,False,True,Electronics / Thermal Interface,benchmark/reference screening,False,0.9,Matbench reference row from matbench_expt_gap; benchmark/reference screening.
matbench_expt_gap_00031,AgBiSe2,AgBiSe2,Matbench material,matbench_expt_gap,Matbench material,matbench_expt_gap,public_benchmark,85,False,True,Electronics / Thermal Interface,benchmark/reference screening,False,0.34,Matbench reference row from matbench_expt_gap; benchmark/reference screening.
matbench_expt_gap_00032,AgBr,AgBr,Matbench material,matbench_expt_gap,Matbench material,matbench_expt_gap,public_benchmark,85,False,True,Electronics / Thermal Interface,benchmark/reference screening,False,2.52,Matbench reference row from matbench_expt_gap; benchmark/reference screening.
matbench_expt_gap_00033,AgCNO,AgCNO,Matbench material,matbench_expt_gap,Matbench material,matbench_expt_gap,public_benchmark,85,False,True,Electronics / Thermal Interface,benchmark/reference screening,False,0.0,Matbench reference row from matbench_expt_gap; benchmark/reference screening.
matbench_expt_gap_00034,AgCl,AgCl,Matbench material,matbench_expt_gap,Matbench material,matbench_expt_gap,public_benchmark,85,False,True,Electronics / Thermal Interface,benchmark/reference screening,False,5.13,Matbench reference row from matbench_expt_gap; benchmark/reference screening.
matbench_expt_gap_00035,AgF,AgF,Matbench material,matbench_expt_gap,Matbench material,matbench_expt_gap,public_benchmark,85,False,True,Electronics / Thermal Interface,benchmark/reference screening,False,2.8,Matbench reference row from matbench_expt_gap; benchmark/reference screening.
matbench_expt_gap_00036,AgGeO3,AgGeO3,Matbench material,matbench_expt_gap,Matbench material,matbench_expt_gap,public_benchmark,85,False,True,Electronics / Thermal Interface,benchmark/reference screening,False,0.0,Matbench reference row from matbench_expt_gap; benchmark/reference screening.
matbench_expt_gap_00037,AgO,AgO,Matbench material,matbench_expt_gap,Matbench material,matbench_expt_gap,public_benchmark,85,False,True,Electronics / Thermal Interface,benchmark/reference screening,False,1.57,Matbench reference row from matbench_expt_gap; benchmark/reference screening.
matbench_expt_gap_00038,AgP15,AgP15,Matbench material,matbench_expt_gap,Matbench material,matbench_expt_gap,public_benchmark,85,False,True,Electronics / Thermal Interface,benchmark/reference screening,False,1.47,Matbench reference row from matbench_expt_gap; benchmark/reference screening.
matbench_expt_gap_00039,AgPd(IO3)3,AgPd(IO3)3,Matbench material,matbench_expt_gap,Matbench material,matbench_expt_gap,public_benchmark,85,False,True,Electronics / Thermal Interface,benchmark/reference screening,False,1.5,Matbench reference row from matbench_expt_gap; benchmark/reference screening.
matbench_expt_gap_00040,AgPdO2,AgPdO2,Matbench material,matbench_expt_gap,Matbench material,matbench_expt_gap,public_benchmark,85,False,True,Electronics / Thermal Interface,benchmark/reference screening,False,0.0,Matbench reference row from matbench_expt_gap; benchmark/reference screening.
matbench_expt_gap_00041,AgPt3,AgPt3,Matbench material,matbench_expt_gap,Matbench material,matbench_expt_gap,public_benchmark,85,False,True,Electronics / Thermal Interface,benchmark/reference screening,False,0.0,Matbench reference row from matbench_expt_gap; benchmark/reference screening.
matbench_expt_gap_00042,AgSO4,AgSO4,Matbench material,matbench_expt_gap,Matbench material,matbench_expt_gap,public_benchmark,85,False,True,Electronics / Thermal Interface,benchmark/reference screening,False,0.18,Matbench reference row from matbench_expt_gap; benchmark/reference screening.
matbench_expt_gap_00043,AgTe2As,AgTe2As,Matbench material,matbench_expt_gap,Matbench material,matbench_expt_gap,public_benchmark,85,False,True,Electronics / Thermal Interface,benchmark/reference screening,False,0.8,Matbench reference row from matbench_expt_gap; benchmark/reference screening.
matbench_expt_gap_00044,Al(Ni10B7)2,Al(Ni10B7)2,Matbench material,matbench_expt_gap,Matbench material,matbench_expt_gap,public_benchmark,85,False,True,Electronics / Thermal Interface,benchmark/reference screening,False,0.0,Matbench reference row from matbench_expt_gap; benchmark/reference screening.
matbench_expt_gap_00045,Al(NiS2)2,Al(NiS2)2,Matbench material,matbench_expt_gap,Matbench material,matbench_expt_gap,public_benchmark,85,False,True,Electronics / Thermal Interface,benchmark/reference screening,False,0.0,Matbench reference row from matbench_expt_gap; benchmark/reference screening.
matbench_expt_gap_00046,Al0.01Cd0.99Sb0.01Te0.99,Al0.01Cd0.99Sb0.01Te0.99,Matbench material,matbench_expt_gap,Matbench material,matbench_expt_gap,public_benchmark,85,False,True,Electronics / Thermal Interface,benchmark/reference screening,False,1.6,Matbench reference row from matbench_expt_gap; benchmark/reference screening.
matbench_expt_gap_00047,Al0.01Ga0.99P1,Al0.01Ga0.99P1,Matbench material,matbench_expt_gap,Matbench material,matbench_expt_gap,public_benchmark,85,False,True,Electronics / Thermal Interface,benchmark/reference screening,False,2.27,Matbench reference row from matbench_expt_gap; benchmark/reference screening.
matbench_expt_gap_00048,Al0.01In0.99P1,Al0.01In0.99P1,Matbench material,matbench_expt_gap,Matbench material,matbench_expt_gap,public_benchmark,85,False,True,Electronics / Thermal Interface,benchmark/reference screening,False,1.3,Matbench reference row from matbench_expt_gap; benchmark/reference screening.
matbench_expt_gap_00049,Al0.05Cd0.95Sb0.05Te0.95,Al0.05Cd0.95Sb0.05Te0.95,Matbench material,matbench_expt_gap,Matbench material,matbench_expt_gap,public_benchmark,85,False,True,Electronics / Thermal Interface,benchmark/reference screening,False,1.37,Matbench reference row from matbench_expt_gap; benchmark/reference screening.
matbench_expt_gap_00050,Al0.15Ga0.85As1,Al0.15Ga0.85As1,Matbench material,matbench_expt_gap,Matbench material,matbench_expt_gap,public_benchmark,85,False,True,Electronics / Thermal Interface,benchmark/reference screening,False,1.6,Matbench reference row from matbench_expt_gap; benchmark/reference screening.
matbench_expt_gap_00051,Al0.1Cd0.9Sb0.1Te0.9,Al0.1Cd0.9Sb0.1Te0.9,Matbench material,matbench_expt_gap,Matbench material,matbench_expt_gap,public_benchmark,85,False,True,Electronics / Thermal Interface,benchmark/reference screening,False,1.36,Matbench reference row from matbench_expt_gap; benchmark/reference screening.
matbench_expt_gap_00052,Al0.1In0.9P1,Al0.1In0.9P1,Matbench material,matbench_expt_gap,Matbench material,matbench_expt_gap,public_benchmark,85,False,True,Electronics / Thermal Interface,benchmark/reference screening,False,1.5,Matbench reference row from matbench_expt_gap; benchmark/reference screening.
matbench_expt_gap_00053,Al0.2Ga0.8P1,Al0.2Ga0.8P1,Matbench material,matbench_expt_gap,Matbench material,matbench_expt_gap,public_benchmark,85,False,True,Electronics / Thermal Interface,benchmark/reference screening,False,2.3,Matbench reference row from matbench_expt_gap; benchmark/reference screening.
matbench_expt_gap_00054,Al0.2In0.8P1,Al0.2In0.8P1,Matbench material,matbench_expt_gap,Matbench material,matbench_expt_gap,public_benchmark,85,False,True,Electronics / Thermal Interface,benchmark/reference screening,False,1.7,Matbench reference row from matbench_expt_gap; benchmark/reference screening.
matbench_expt_gap_00055,Al0.35Ga0.65As1,Al0.35Ga0.65As1,Matbench material,matbench_expt_gap,Matbench material,matbench_expt_gap,public_benchmark,85,False,True,Electronics / Thermal Interface,benchmark/reference screening,False,2.0,Matbench reference row from matbench_expt_gap; benchmark/reference screening.
matbench_expt_gap_00056,Al0.3Ga0.7As1,Al0.3Ga0.7As1,Matbench material,matbench_expt_gap,Matbench material,matbench_expt_gap,public_benchmark,85,False,True,Electronics / Thermal Interface,benchmark/reference screening,False,1.81,Matbench reference row from matbench_expt_gap; benchmark/reference screening.
matbench_expt_gap_00057,Al0.3In0.7P1,Al0.3In0.7P1,Matbench material,matbench_expt_gap,Matbench material,matbench_expt_gap,public_benchmark,85,False,True,Electronics / Thermal Interface,benchmark/reference screening,False,1.9,Matbench reference row from matbench_expt_gap; benchmark/reference screening.
matbench_expt_gap_00058,Al0.45Cd0.55Sb0.45Te0.55,Al0.45Cd0.55Sb0.45Te0.55,Matbench material,matbench_expt_gap,Matbench material,matbench_expt_gap,public_benchmark,85,False,True,Electronics / Thermal Interface,benchmark/reference screening,False,1.93,Matbench reference row from matbench_expt_gap; benchmark/reference screening.
matbench_expt_gap_00059,Al0.4Cd0.6Sb0.4Te0.6,Al0.4Cd0.6Sb0.4Te0.6,Matbench material,matbench_expt_gap,Matbench material,matbench_expt_gap,public_benchmark,85,False,True,Electronics / Thermal Interface,benchmark/reference screening,False,1.8,Matbench reference row from matbench_expt_gap; benchmark/reference screening.
matbench_expt_gap_00060,Al0.4Ga0.6P1,Al0.4Ga0.6P1,Matbench material,matbench_expt_gap,Matbench material,matbench_expt_gap,public_benchmark,85,False,True,Electronics / Thermal Interface,benchmark/reference screening,False,2.35,Matbench reference row from matbench_expt_gap; benchmark/reference screening.
matbench_expt_gap_00061,Al0.4In0.6P1,Al0.4In0.6P1,Matbench material,matbench_expt_gap,Matbench material,matbench_expt_gap,public_benchmark,85,False,True,Electronics / Thermal Interface,benchmark/reference screening,False,2.12,Matbench reference row from matbench_expt_gap; benchmark/reference screening.
matbench_expt_gap_00062,Al0.5Ga0.5As1,Al0.5Ga0.5As1,Matbench material,matbench_expt_gap,Matbench material,matbench_expt_gap,public_benchmark,85,False,True,Electronics / Thermal Interface,benchmark/reference screening,False,2.12,Matbench reference row from matbench_expt_gap; benchmark/reference screening.
matbench_expt_gap_00063,Al0.6Ga0.4As1,Al0.6Ga0.4As1,Matbench material,matbench_expt_gap,Matbench material,matbench_expt_gap,public_benchmark,85,False,True,Electronics / Thermal Interface,benchmark/reference screening,False,2.3,Matbench reference row from matbench_expt_gap; benchmark/reference screening.
matbench_expt_gap_00064,Al0.6Ga0.4P1,Al0.6Ga0.4P1,Matbench material,matbench_expt_gap,Matbench material,matbench_expt_gap,public_benchmark,85,False,True,Electronics / Thermal Interface,benchmark/reference screening,False,2.4,Matbench reference row from matbench_expt_gap; benchmark/reference screening.
matbench_expt_gap_00065,Al0.6In0.4P1,Al0.6In0.4P1,Matbench material,matbench_expt_gap,Matbench material,matbench_expt_gap,public_benchmark,85,False,True,Electronics / Thermal Interface,benchmark/reference screening,False,2.3,Matbench reference row from matbench_expt_gap; benchmark/reference screening.
matbench_expt_gap_00066,Al0.75Ga0.25As1,Al0.75Ga0.25As1,Matbench material,matbench_expt_gap,Matbench material,matbench_expt_gap,public_benchmark,85,False,True,Electronics / Thermal Interface,benchmark/reference screening,False,2.42,Matbench reference row from matbench_expt_gap; benchmark/reference screening.
matbench_expt_gap_00067,Al0.7In0.3P1,Al0.7In0.3P1,Matbench material,matbench_expt_gap,Matbench material,matbench_expt_gap,public_benchmark,85,False,True,Electronics / Thermal Interface,benchmark/reference screening,False,2.3,Matbench reference row from matbench_expt_gap; benchmark/reference screening.
matbench_expt_gap_00068,Al0.8Ga0.2P1,Al0.8Ga0.2P1,Matbench material,matbench_expt_gap,Matbench material,matbench_expt_gap,public_benchmark,85,False,True,Electronics / Thermal Interface,benchmark/reference screening,False,2.43,Matbench reference row from matbench_expt_gap; benchmark/reference screening.
matbench_expt_gap_00069,Al0.99Cd0.01Sb0.99Te0.01,Al0.99Cd0.01Sb0.99Te0.01,Matbench material,matbench_expt_gap,Matbench material,matbench_expt_gap,public_benchmark,85,False,True,Electronics / Thermal Interface,benchmark/reference screening,False,2.21,Matbench reference row from matbench_expt_gap; benchmark/reference screening.
matbench_expt_gap_00070,Al0.99Ga0.01P1,Al0.99Ga0.01P1,Matbench material,matbench_expt_gap,Matbench material,matbench_expt_gap,public_benchmark,85,False,True,Electronics / Thermal Interface,benchmark/reference screening,False,2.49,Matbench reference row from matbench_expt_gap; benchmark/reference screening.
matbench_expt_gap_00071,Al0.99In0.01P1,Al0.99In0.01P1,Matbench material,matbench_expt_gap,Matbench material,matbench_expt_gap,public_benchmark,85,False,True,Electronics / Thermal Interface,benchmark/reference screening,False,2.4,Matbench reference row from matbench_expt_gap; benchmark/reference screening.
matbench_expt_gap_00072,Al10V,Al10V,Matbench material,matbench_expt_gap,Matbench material,matbench_expt_gap,public_benchmark,85,False,True,Electronics / Thermal Interface,benchmark/reference screening,False,0.0,Matbench reference row from matbench_expt_gap; benchmark/reference screening.
matbench_expt_gap_00073,Al13Ru4,Al13Ru4,Matbench material,matbench_expt_gap,Matbench material,matbench_expt_gap,public_benchmark,85,False,True,Electronics / Thermal Interface,benchmark/reference screening,False,0.0,Matbench reference row from matbench_expt_gap; benchmark/reference screening.
matbench_expt_gap_00074,Al2(CuSe2)3,Al2(CuSe2)3,Matbench material,matbench_expt_gap,Matbench material,matbench_expt_gap,public_benchmark,85,False,True,Electronics / Thermal Interface,benchmark/reference screening,False,0.0,Matbench reference row from matbench_expt_gap; benchmark/reference screening.
matbench_expt_gap_00075,Al21Pt8,Al21Pt8,Matbench material,matbench_expt_gap,Matbench material,matbench_expt_gap,public_benchmark,85,False,True,Electronics / Thermal Interface,benchmark/reference screening,False,0.0,Matbench reference row from matbench_expt_gap; benchmark/reference screening.
matbench_expt_gap_00076,Al2CoIr,Al2CoIr,Matbench material,matbench_expt_gap,Matbench material,matbench_expt_gap,public_benchmark,85,False,True,Electronics / Thermal Interface,benchmark/reference screening,False,0.0,Matbench reference row from matbench_expt_gap; benchmark/reference screening.
matbench_expt_gap_00077,Al2Cr2O7,Al2Cr2O7,Matbench material,matbench_expt_gap,Matbench material,matbench_expt_gap,public_benchmark,85,False,True,Electronics / Thermal Interface,benchmark/reference screening,False,0.0,Matbench reference row from matbench_expt_gap; benchmark/reference screening.
matbench_expt_gap_00078,Al2CrS4,Al2CrS4,Matbench material,matbench_expt_gap,Matbench material,matbench_expt_gap,public_benchmark,85,False,True,Electronics / Thermal Interface,benchmark/reference screening,False,0.0,Matbench reference row from matbench_expt_gap; benchmark/reference screening.
matbench_expt_gap_00079,Al2Cu,Al2Cu,Matbench material,matbench_expt_gap,Matbench material,matbench_expt_gap,public_benchmark,85,False,True,Electronics / Thermal Interface,benchmark/reference screening,False,0.0,Matbench reference row from matbench_expt_gap; benchmark/reference screening.
matbench_expt_gap_00080,Al2FeNi,Al2FeNi,Matbench material,matbench_expt_gap,Matbench material,matbench_expt_gap,public_benchmark,85,False,True,Electronics / Thermal Interface,benchmark/reference screening,False,0.0,Matbench reference row from matbench_expt_gap; benchmark/reference screening.
matbench_expt_gap_00081,Al2Ru,Al2Ru,Matbench material,matbench_expt_gap,Matbench material,matbench_expt_gap,public_benchmark,85,False,True,Electronics / Thermal Interface,benchmark/reference screening,False,0.0,Matbench reference row from matbench_expt_gap; benchmark/reference screening.
matbench_expt_gap_00082,Al2S3,Al2S3,Matbench material,matbench_expt_gap,Matbench material,matbench_expt_gap,public_benchmark,85,False,True,Electronics / Thermal Interface,benchmark/reference screening,False,4.1,Matbench reference row from matbench_expt_gap; benchmark/reference screening.
matbench_expt_gap_00083,Al2Se3,Al2Se3,Matbench material,matbench_expt_gap,Matbench material,matbench_expt_gap,public_benchmark,85,False,True,Electronics / Thermal Interface,benchmark/reference screening,False,3.1,Matbench reference row from matbench_expt_gap; benchmark/reference screening.
matbench_expt_gap_00084,Al3Tc,Al3Tc,Matbench material,matbench_expt_gap,Matbench material,matbench_expt_gap,public_benchmark,85,False,True,Electronics / Thermal Interface,benchmark/reference screening,False,0.0,Matbench reference row from matbench_expt_gap; benchmark/reference screening.
matbench_expt_gap_00085,Al4Cu2O7,Al4Cu2O7,Matbench material,matbench_expt_gap,Matbench material,matbench_expt_gap,public_benchmark,85,False,True,Electronics / Thermal Interface,benchmark/reference screening,False,0.0,Matbench reference row from matbench_expt_gap; benchmark/reference screening.
matbench_expt_gap_00086,Al4Cu9,Al4Cu9,Matbench material,matbench_expt_gap,Matbench material,matbench_expt_gap,public_benchmark,85,False,True,Electronics / Thermal Interface,benchmark/reference screening,False,0.0,Matbench reference row from matbench_expt_gap; benchmark/reference screening.
matbench_expt_gap_00087,Al5Rh2,Al5Rh2,Matbench material,matbench_expt_gap,Matbench material,matbench_expt_gap,public_benchmark,85,False,True,Electronics / Thermal Interface,benchmark/reference screening,False,0.0,Matbench reference row from matbench_expt_gap; benchmark/reference screening.
matbench_expt_gap_00088,Al6Fe,Al6Fe,Matbench material,matbench_expt_gap,Matbench material,matbench_expt_gap,public_benchmark,85,False,True,Electronics / Thermal Interface,benchmark/reference screening,False,0.0,Matbench reference row from matbench_expt_gap; benchmark/reference screening.
matbench_expt_gap_00089,Al6Ru,Al6Ru,Matbench material,matbench_expt_gap,Matbench material,matbench_expt_gap,public_benchmark,85,False,True,Electronics / Thermal Interface,benchmark/reference screening,False,0.0,Matbench reference row from matbench_expt_gap; benchmark/reference screening.
matbench_expt_gap_00090,Al6Tc,Al6Tc,Matbench material,matbench_expt_gap,Matbench material,matbench_expt_gap,public_benchmark,85,False,True,Electronics / Thermal Interface,benchmark/reference screening,False,0.0,Matbench reference row from matbench_expt_gap; benchmark/reference screening.
matbench_expt_gap_00091,Al7(CN)3,Al7(CN)3,Matbench material,matbench_expt_gap,Matbench material,matbench_expt_gap,public_benchmark,85,False,True,Electronics / Thermal Interface,benchmark/reference screening,False,0.0,Matbench reference row from matbench_expt_gap; benchmark/reference screening.
matbench_expt_gap_00092,Al9Co2,Al9Co2,Matbench material,matbench_expt_gap,Matbench material,matbench_expt_gap,public_benchmark,85,False,True,Electronics / Thermal Interface,benchmark/reference screening,False,0.0,Matbench reference row from matbench_expt_gap; benchmark/reference screening.
matbench_expt_gap_00093,Al9Ir2,Al9Ir2,Matbench material,matbench_expt_gap,Matbench material,matbench_expt_gap,public_benchmark,85,False,True,Electronics / Thermal Interface,benchmark/reference screening,False,0.0,Matbench reference row from matbench_expt_gap; benchmark/reference screening.
matbench_expt_gap_00094,Al9Rh2,Al9Rh2,Matbench material,matbench_expt_gap,Matbench material,matbench_expt_gap,public_benchmark,85,False,True,Electronics / Thermal Interface,benchmark/reference screening,False,0.0,Matbench reference row from matbench_expt_gap; benchmark/reference screening.
matbench_expt_gap_00095,AlAgO2,AlAgO2,Matbench material,matbench_expt_gap,Matbench material,matbench_expt_gap,public_benchmark,85,False,True,Electronics / Thermal Interface,benchmark/reference screening,False,3.6,Matbench reference row from matbench_expt_gap; benchmark/reference screening.
matbench_expt_gap_00096,AlAgS2,AlAgS2,Matbench material,matbench_expt_gap,Matbench material,matbench_expt_gap,public_benchmark,85,False,True,Electronics / Thermal Interface,benchmark/reference screening,False,3.13,Matbench reference row from matbench_expt_gap; benchmark/reference screening.
matbench_expt_gap_00097,AlAgSe2,AlAgSe2,Matbench material,matbench_expt_gap,Matbench material,matbench_expt_gap,public_benchmark,85,False,True,Electronics / Thermal Interface,benchmark/reference screening,False,2.55,Matbench reference row from matbench_expt_gap; benchmark/reference screening.
matbench_expt_gap_00098,AlAgTe2,AlAgTe2,Matbench material,matbench_expt_gap,Matbench material,matbench_expt_gap,public_benchmark,85,False,True,Electronics / Thermal Interface,benchmark/reference screening,False,1.8,Matbench reference row from matbench_expt_gap; benchmark/reference screening.
matbench_expt_gap_00099,AlAs,AlAs,Matbench material,matbench_expt_gap,Matbench material,matbench_expt_gap,public_benchmark,85,False,True,Electronics / Thermal Interface,benchmark/reference screening,False,0.0,Matbench reference row from matbench_expt_gap; benchmark/reference screening.
